smiles,logP,qed,SAS
"CC(C)(C)c1ccc2occ(CC(=O)Nc3ccccc3F)c2c1",5.0506,0.702012233,2.084094572
"C[C@@H]1CC(Nc2cncc(-c3nncn3C)c2)C[C@@H](C)C1",3.1137,0.928975488,3.432003819
"N#Cc1ccc(-c2ccc(O[C@@H](C(=O)N3CCCC3)c3ccccc3)cc2)cc1",4.96778,0.599681738,2.470632608
"CCOC(=O)[C@@H]1CCCN(C(=O)c2nc(-c3ccc(C)cc3)n3c2CCCCC3)C1",4.00022,0.690944353,2.822753311
"N#CC1=C(SCC(=O)Nc2cccc(Cl)c2)N=C([O-])[C@H](C#N)C12CCCCC2",3.60956,0.789027155,4.035182138
"CC[NH+](CC)[C@](C)(CC)[C@H](O)c1cscc1Br",2.6374,0.824368801,5.09143755
"COc1ccc(C(=O)N(C)[C@@H](C)C/C(N)=N/O)cc1O",0.9978,0.327296943,2.852316399
"O=C(Nc1nc[nH]n1)c1cccnc1Nc1cccc(F)c1",2.3347,0.687612061,2.627857492
"Cc1c(/C=N/c2cc(Br)ccn2)c(O)n2c(nc3ccccc32)c1C#N",4.2813,0.483078614,3.073935311
"C[C@@H]1CN(C(=O)c2cc(Br)cn2C)CC[C@H]1[NH3+]",0.8801,0.835024277,3.94793347
"CCOc1ccc(OCC)c([C@H]2C(C#N)=C(N)N(c3ccccc3C(F)(F)F)C3=C2C(=O)CCC3)c1",5.80758,0.533054503,3.173202334
"Cc1ccc2nc(S[C@H](C)C(=O)NC3CCC(C)CC3)n(C)c(=O)c2c1",3.41742,0.645397635,2.692305637
"O=C(N1CCc2c(F)ccc(F)c2C1)C1(O)Cc2ccccc2C1",2.3794,0.873135846,2.733199772
"Cc1ccccc1C(=O)N1CCC2(CC1)C[C@H](c1ccccc1)C(=O)N2C",3.61572,0.797803835,3.350352283
"CCCc1cc(NC(=O)CN2C(=O)NC3(CCC(C)CC3)C2=O)n(C)n1",1.8118,0.787345956,3.077567176
"CC(C)Cc1nc(SCC(=O)NC[C@@H]2CCCO2)c2c(=O)n(C)c(=O)n(C)c2n1",0.613,0.52505238,3.112533377
"Cc1ccc(CNC(=O)c2ccccc2NC(=O)[C@@H]2CC(=O)N(c3ccc(C)cc3)C2)cc1",4.22504,0.577048776,2.429037406
"CCCCC(=O)NC(=S)Nc1ccccc1C(=O)N1CCOCC1",2.1622,0.800069613,2.037915157
"Cc1c(NC(=O)CSc2nc3sc4c(c3c(=O)[nH]2)CCCC4)c(=O)n(-c2ccccc2)n1C",3.39202,0.329473892,2.622177707
"CC(C)[C@@H](Oc1cccc(Cl)c1)C(=O)N1CCC(n2cccn2)CC1",3.8036,0.788499105,2.940469367
"CCN(CC)C(=O)C[C@@H](C)[NH2+][C@H](C)c1cccc(F)c1F",2.2362,0.825487808,3.878253819
"Cc1nc2c(c(Nc3ncc(C)s3)n1)CCN(C(=O)CCc1ccccc1)C2",3.81104,0.69178968,2.545686177
"O=C(NCCNC(=O)N1C[C@H]2CC=CC[C@@H]2C1)c1cccnc1",1.419,0.658574943,3.194352211
"O=c1n(CCO)c2ccccc2n1CCO",-0.2124,0.776598469,2.108634629
"COC(=O)Cc1csc(NC(=O)Cc2coc3cc(C)ccc23)n1",3.09442,0.710428909,2.308817193
"Cc1ccc(N2CC[C@@H](NS(=O)(=O)c3ccccc3C)C2=O)cc1C",2.69566,0.909748572,2.595621197
"CC[C@H](C)C[C@@H](C)NC(=O)N1CCN(CC(=O)NC2CC2)CC1",1.4169,0.751938376,2.906806565
"CC(=O)Nc1c2n(c3ccccc13)C[C@](C)(C(=O)NC1CCCCC1)N(C1CCCCC1)C2=O",4.5958,0.663239457,3.198361245
"N#Cc1ccncc1NC[C@@H]1C[C@@]12CCc1ccccc12",3.26928,0.919377069,3.918602176
"Cc1cccn2c(=O)c(C(=O)NC[C@H]3CCO[C@@H]3C(C)C)cnc12",1.79382,0.934718059,3.449086114
"CNC(=O)c1ccc(/C=C/C(=O)Nc2c(C)cc(C)nc2Cl)cc1",3.36334,0.647652521,2.239471965
"CC1=C(CNC(=O)c2cc(-c3ccccc3)nc3c2CNN3C(C)C)CN=N1",3.4512,0.81955662,3.350933314
"C[C@@H](NC(=O)COC(=O)/C=C/c1ccc(Cl)cc1)c1ccccc1",3.7738,0.622224146,2.257847866
"CCc1ccc(N(Cc2ccc(C)s2)C(=O)c2ccc(=O)n(C)n2)cc1",3.55962,0.676122711,2.398371955
"CCOC(=O)c1nnc2ccccc2c1N1CC[C@@H]([NH+](CC)CC)C1",1.3099,0.810674073,3.889839681
"Cc1ccc(C#N)cc1S(=O)(=O)NCc1ccnc(OC(C)(C)C)c1",2.9175,0.87834803,2.458668205
"O=C(O[C@H]1CCOC1)C1(c2ccc(Cl)c(Cl)c2)CCC1",3.7472,0.773968195,2.933867493
"CCC[NH2+][C@@H]1COC[C@H]1C(=O)NCc1cscc1C",0.66112,0.820213965,4.591978373
"O=C(NCc1nccc2ccccc12)c1ccc[nH]c1=O",1.8531,0.773066838,2.158780064
"CC(=O)c1ccc(S(=O)(=O)N2CCCC[C@H]2C)cc1",2.4523,0.79931282,2.276808227
"O=[N+]([O-])c1c(Nc2cccc3ncccc23)ncnc1N1CCN(c2cccc(Cl)c2)CC1",4.6566,0.323171171,2.399710276
"O=C(CCCO)Nc1ccc(F)cc1F",1.6758,0.808810117,1.72803068
"NC(=O)CCOc1ccc(NC(=O)C[C@H]2CCc3ccccc32)cc1",2.9994,0.805668066,2.459113922
"COc1cc(C)ccc1OCC(=O)Nc1nnc(C)s1",2.18104,0.917216911,1.912049037
"CC(=O)c1c(O)cccc1COc1ccccc1",3.1738,0.825498391,1.810419951
"CCn1cc(S(=O)(=O)N2CCCCC[C@@H]2c2cc(-c3ccc(F)cc3)no2)cn1",4.0031,0.603371328,3.001570217
"COC(=O)[C@](NC(=O)c1cccc(Cl)c1)(Nc1ccc(Br)c[nH+]1)C(F)(F)F",3.1901,0.515070002,3.788624607
"Cc1[nH]c2ccc(C(=O)Nc3cc(C(C)(C)C)nn3-c3ncccn3)cc2c1C",4.31024,0.524623809,2.522851246
"Cc1noc(C)c1C[C@H](C)C(=O)N[C@@H](C)C1CCCCC1",3.55504,0.880927541,3.166321591
"CCn1cc(C(=O)N[C@H]2CC(=O)N(C)C2)c(C(C)C)n1",0.9869,0.905427325,3.100388097
"COc1cccc(-c2cncc3ccccc23)c1C(=O)N(C(C)C)C(C)C",5.1694,0.604640483,2.39403427
"COc1ccc([C@@H](C)NC(=O)Cc2cccc3ccccc23)cc1",4.2683,0.731482567,2.121840892
"O=C1C[C@H](c2nc(-c3cccnc3)no2)CN1c1cccc(Cl)c1",3.3055,0.718284169,2.688926864
"C[C@H]1CCCN(c2ccc(C(=O)Nc3ccc(N4CCOCC4)cc3)cc2[N+](=O)[O-])C1",3.92,0.55888779,2.616748866
"C=CCN(C(=O)C/C=C/c1ccc(C)cc1)[C@@H]1CCS(=O)(=O)C1",2.60002,0.749990616,3.079857267
"O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1nncs1",2.2271,0.397216719,2.465155881
"CN(CCc1ccc(F)cc1)c1cc(Br)cc(F)c1C(N)=O",3.5051,0.857208289,2.310321049
"COc1ccccc1NC(=O)CSc1ccc(-c2ccccc2OC)nn1",3.8916,0.605620625,2.006979808
"Cc1occc1C(=O)/C(C#N)=C\c1cccc(C(F)(F)F)c1",4.3967,0.459245476,2.477264126
"COc1ccc2c(c1)N(C(=O)CCSc1ccccn1)C[C@@H](C)O2",3.3865,0.763182587,2.863882363
"CC[C@@H](NC(=O)[C@H](C)n1cccn1)c1ccc(C)c(F)c1",3.15912,0.905928018,3.006379416
"CCC[C@]1(C(=O)N[C@@H]2CONC2=O)CC[NH2+]C1",-1.7138,0.582060686,4.988746973
"O=C(c1cc2cc([N+](=O)[O-])ccc2oc1=O)N1CCN(Cc2ccccc2)CC1",2.6592,0.382616503,2.118806349
